Name,Country,DoB,PlayerNo
Jason Minett,England,12/08/1971,374
Colin Woodthorpe,England,13/01/1969,375
Mark Bowen,Wales,07/12/1963,376
Gary Megson,England,02/05/1959,377
Ian Culverhouse,England,22/09/1964,378
Ian Butterworth,England,25/01/1964,379
Rob Newman,England,13/12/1963,380
David Smith,England,26/12/1970,381
Ian Crook,England,18/01/1963,382
Jeremy Goss,Wales,11/05/1965,383
Darren Eadie,England,10/06/1975,384
Andy Johnson,Wales,02/05/1974,385
Mark Robins,England,22/12/1969,386
Jamie Cureton,England,28/08/1975,387
Ruel Fox,Montserrat,14/01/1968,388
Efan Ekoku,Nigeria,08/06/1967,389
Chris Sutton,England,10/03/1973,390
Lee Power,England,30/06/1972,391
Andy Marriott,England,11/10/1970,393
Mark Crossley,Wales,16/06/1969,394
Stuart Pearce,England,24/04/1962,395
Gary Charles,England,13/04/1970,396
Carl Tiler,England,11/02/1970,397
Steve Chettle,England,27/09/1968,398
Brett Williams,England,09/03/1968,399
Steve Blatherwick,England,20/09/1973,400
Scot Gemmill,Scotland,02/01/1971,401
Thorvaldu Örlygsson,Iceland,02/08/1966,402
Bobby Howe,England,06/11/1973,403
Ian Woan,England,14/12/1967,404
Ian Kilford,England,10/06/1973,405
Steve Stone,England,20/08/1971,406
Roy Keane,Ireland,10/08/1971,407
Kingsley Black,Northern Ireland,22/06/1968,408
Neil Webb,England,30/07/1963,409
Gary Crosby,England,08/05/1964,410
Nigel Clough,England,19/03/1966,411
Robert Rosario,England,04/03/1966,412
Paul McGregor,England,17/12/1974,413
Jon Hallworth,England,26/10/1965,415
Paul Gerrard,England,22/01/1973,416
Ian Gray,Scotland,25/02/1975,417
Andy Barlow,England,24/11/1965,418
Craig Fleming,England,06/10/1971,419
Neil Pointon,England,28/11/1964,420
Neil McDonald,England,02/11/1965,421
Steve Redmond,England,11/02/1967,422
Gunnar Halle,Norway,11/08/1965,423
Chris Makin,England,08/05/1973,424
Richard Jobson,England,09/05/1963,425
Ian Marshall,England,20/03/1966,426
Mark Brennan,England,04/10/1965,427
Nick Henry,England,21/02/1969,428
Mike Milligan,England,20/02/1967,429
Neil Adams,England,23/11/1965,430
Paul Bernard,Scotland,30/12/1972,431
Graeme Sharp,Scotland,16/10/1960,432
Roger Palmer,England,30/01/1959,433
Andy Ritchie,Scotland,23/02/1956,434
Paul Moulden,England,06/09/1967,435
Ian Olney,England,17/12/1969,436
Orpheo Keizerweerd,Netherlands,21/11/1968,437
Neil Tolson,England,25/10/1973,438
Darren Beckford,England,12/06/1967,439
Jan Stejskal,Czech Republic,15/01/1962,441
Tony Roberts,Wales,04/08/1969,442
Danny Maddix,England,11/10/1967,443
Karl Ready,England,14/08/1972,444
Rufus Brevett,England,24/09/1969,445
Ian Holloway,England,12/03/1963,446
David Bardsley,England,11/09/1964,447
Darren Peacock,England,03/02/1968,448
Brian Croft,England,27/09/1967,449
Alan McCarthy,England,11/01/1972,450
Alan McDonald,Northern Ireland,12/10/1963,451
Clive Wilson,England,13/11/1961,452
Andy Impey,England,30/09/1971,453
Maurice Doyle,England,17/10/1969,454
Ray Wilkins,England,14/09/1956,455
Andy Sinton,England,19/03/1966,456
Marvin Bryan,England,02/08/1975,457
Devon White,England,02/03/1964,458
Michael Meaker,Wales,18/08/1971,459
Simon Barker,England,04/11/1964,460
Dennis Bailey,England,13/11/1965,461
Les Ferdinand,England,08/12/1966,462
Bradley Allen,England,13/09/1971,463
Garry Thompson,England,07/10/1959,464
Gary Penrice,England,23/03/1964,465
Dougie Freedman,Scotland,25/05/1974,466
Simon Tracey,England,09/12/1967,468
Alan Kelly,Ireland,11/08/1968,469
David Walton,England,10/04/1973,470
Paul Beesley,England,21/07/1965,471
Kevin Gage,England,21/04/1964,472
Ian Bryson,Scotland,26/11/1962,473
Tom Cowan,Scotland,28/06/1969,474
Dave Barnes,England,16/11/1961,475
Brian Gayle,England,06/03/1965,476
Jamie Hoyland,England,23/01/1966,477
Carl Bradshaw,England,10/02/1968,478
Paul Rogers,England,21/03/1965,479
Glyn Hodges,Wales,30/04/1963,480
John Gannon,England,18/12/1966,481
Mitch Ward,England,19/06/1971,482
John Pemberton,England,18/11/1964,483
Dane Whitehouse,England,14/10/1970,484
Charlie Hartfield,England,14/09/1971,485
Peter Duffield,England,04/02/1965,486
Andrew Scott,England,02/08/1972,487
Brian Deane,England,07/02/1968,488
Alan Cork,England,04/03/1959,489
Adrian Littlejohn,England,26/09/1970,490
Franz Carr,England,24/09/1966,491
Chris Woods,England,14/11/1959,493
Lance Key,England,17/05/1968,494
Kevin Pressman,England,06/11/1967,495
Nigel Worthington,Northern Ireland,04/11/1961,496
Carlton Palmer,England,05/12/1965,497
Phil King,England,28/12/1967,498
Viv Anderson,England,29/07/1956,499
Simon Stewart,England,01/11/1973,500
Paul Warhurst,England,26/09/1969,501
Julian Watts,England,17/03/1971,502
Nigel Pearson,England,21/08/1963,503
Roland Nilsson,Sweden,27/11/1963,504
Graham Hyde,England,10/11/1970,505
Chris Waddle,England,14/12/1960,506
Ryan Jones,England,23/07/1973,507
John Harkes,United States,08/03/1967,508
Chris Bart-Williams,England,16/06/1974,509
John Sheridan,Ireland,01/10/1964,510
Michael Williams,England,21/11/1969,511
Nigel Jemson,England,10/08/1969,512
Mark Bright,England,06/06/1962,513
David Hirst,England,07/12/1967,514
Trevor Francis,England,19/04/1954,515
Gordon Watson,England,20/03/1971,516
Ian Andrews,England,01/12/1964,518
Tim Flowers,England,03/02/1967,519
Micky Adams,England,08/11/1961,520
Richard Hall,England,14/03/1972,521
Kenneth Monkou,Netherlands,29/11/1964,522
Francis Benali,England,30/12/1968,523
Jeff Kenna,Ireland,27/08/1970,524
Kevin Moore,England,29/04/1958,525
Derek Allan,Scotland,24/12/1974,526
Matt Bound,England,09/11/1972,527
Jason Dodd,England,02/11/1970,528
Perry Groves,England,19/04/1965,529
Neil Maddison,England,02/10/1969,530
Steve Wood,England,23/06/1963,531
Paul Tisdale,England,14/01/1973,532
Matthew Le Tissier,England,14/10/1968,533
Terry Hurlock,England,22/09/1958,534
Tommy Widdrington,England,01/10/1971,535
Neal Bartlett,England,07/04/1975,536
Glenn Cockerill,England,25/08/1959,537
Iain Dowie,Northern Ireland,09/01/1965,538
Nicky Banger,England,25/02/1971,539
Paul Moody,England,13/06/1967,540
David Speedie,Scotland,20/02/1960,541
Lee Powell,Wales,02/06/1973,542
Ian Walker,England,31/10/1971,544
Erik Thorstvedt,Norway,28/10/1962,545
Kevin Dearden,England,08/03/1970,546
Jason Cundy,England,12/11/1969,547
Gudni Bergsson,Iceland,21/07/1965,548
Gary Mabbutt,England,23/08/1961,549
Terry Fenwick,England,17/11/1959,550
Justin Edinburgh,England,18/12/1969,551
David Tuttle,England,02/06/1972,552
David McDonald,England,02/01/1971,553
Stuart Nethercott,England,21/03/1973,554
Dean Austin,England,26/04/1970,555
Steve Sedgley,England,26/05/1968,556
Sol Campbell,England,18/09/1974,557
Neil Ruddock,England,09/05/1968,558
Ian Hendon,England,05/12/1971,559
David Howells,England,15/12/1967,560
Kevin Watson,England,03/01/1974,561
Andy Turner,Northern Ireland,23/03/1975,562
Danny Hill,England,01/10/1974,563
Lee Hodges,England,09/04/1973,564
Darren Caskey,England,21/08/1974,565
Darren Anderton,England,03/03/1972,566
Paul Allen,England,28/08/1962,567
Vinny Samways,England,27/10/1968,568
Nick Barmby,England,11/02/1974,569
Scott Houghton,England,22/10/1971,570
Gerry McMahon,Northern Ireland,29/12/1973,571
Pat van der Hauwe,Wales,16/12/1960,572
Steve Robinson,Northern Ireland,10/12/1974,573
Nayim,Spain,05/11/1966,574
Andrew Gray,England,22/02/1964,575
Teddy Sheringham,England,02/04/1966,576
Gordon Durie,Scotland,06/12/1965,577
Paul Moran,England,22/05/1968,578
John Hendry,Scotland,06/01/1970,579
Hans Segers,Netherlands,30/10/1961,582
Neil Sullivan,Scotland,24/02/1970,583
Brian McAllister,Scotland,30/11/1970,584
Gerald Dobbs,England,24/01/1971,585
John Scales,England,04/07/1966,586
Chris Perry,England,26/04/1973,587
Roger Joseph,England,24/12/1965,588
Dean Blackwell,England,05/12/1969,589
Warren Barton,England,19/03/1969,590
Scott Fitzgerald,England,13/08/1969,591
Peter Fear,England,10/09/1973,592
Justin Skinner,England,30/01/1969,593
Steve Talboys,England,18/09/1966,594
Paul Miller,England,31/01/1968,595
Lawrie Sanchez,Northern Ireland,22/10/1959,597
Robbie Earle,Jamaica,27/01/1965,598
Vinnie Jones,Wales,05/01/1965,599
Neal Ardley,England,01/09/1972,600
Aidan Newhouse,England,23/05/1972,601
Paul McGee,Ireland,17/05/1968,602
Dean Holdsworth,England,08/11/1968,603
John Fashanu,England,18/09/1962,604
Steve Cotterill,England,20/07/1964,605
Greg Berry,England,05/03/1971,606
Andy Clarke,England,22/07/1967,607
Terry Gibson,England,23/12/1962,608
Martin Thomas,Wales,28/11/1959,610
Steve Agnew,England,09/11/1965,611
Mickey Evans,Ireland,01/01/1973,612
Keith Hill,England,17/05/1969,613
Mick Harford,England,12/02/1959,614
Joe Allon,England,12/11/1966,615
Alec Chamberlain,England,20/06/1964,616
Terry Fleming,England,01/05/1973,617
Micky Gynn,England,19/08/1961,618
David Smith,England,29/03/1968,619
Keith Rowland,Northern Ireland,09/01/1971,620
Peter Billing,England,24/10/1964,621
Michael Quinn,England,02/05/1962,622
Craig Middleton,England,10/09/1970,623
Paul Williams,Northern Ireland,08/09/1963,624
Paul Edwards,England,25/12/1963,625
Simon Osborn,England,19/01/1972,626
Stan Collymore,England,22/01/1971,627
Paul Heald,England,20/09/1968,628
Andy Petterson,Australia,26/09/1969,629
Chris Whyte,England,02/09/1961,630
Scott Sellars,England,27/11/1965,631
Mervyn Day,England,26/06/1955,632
Mel Sterland,England,01/09/1961,633
Imre Varadi,England,08/07/1959,634
Fraser Digby,England,23/04/1967,635
Bernie Slaven,Ireland,13/11/1960,636
Mark Proctor,England,30/01/1961,637
Gary Parkinson,England,10/01/1968,638
Phil Gilchrist,England,25/08/1973,639
Brian Horne,England,05/10/1967,640
David Phillips,Wales,29/07/1963,641
Paul Blades,England,05/01/1965,642
Lee Glover,England,24/04/1970,643
Brian Laws,England,14/10/1961,644
Gary Bannister,England,22/07/1960,645
Ray McKinnon,Scotland,05/08/1970,646
Terry Wilson,England,08/02/1969,647
John Keeley,England,27/07/1961,648
Justin Channing,England,19/11/1968,649
Michael Lake,England,16/11/1966,650
Ken Veysey,England,08/06/1967,651
Alan McLeary,England,10/06/1964,652
Peter Shirtliff,England,06/04/1961,653
Danny Wilson,Northern Ireland,01/01/1960,654
Kerry Dixon,England,24/07/1961,655
David Lee,England,26/11/1967,656
Paul McGee,Ireland,19/06/1954,657
Steve Anthrobus,England,10/11/1968,658
Adrian Clarke,England,28/09/1974,659
Riccardo Scimeca,England,13/06/1975,660
Paul Browne,Scotland,17/02/1975,661
Scott Murray,Scotland,26/05/1974,662
Darren Byfield,Jamaica,29/09/1976,663
Guy Whittingham,England,10/11/1964,664
Steve Cowe,Scotland,29/09/1974,665
Andy Morrison,Scotland,30/07/1970,666
Paul Harford,England,21/10/1974,667
Andy Dow,Scotland,07/02/1973,668
Michael Duberry,England,14/10/1975,669
Muzzy Izzet,Turkey,31/10/1974,670
Gavin Peacock,England,18/11/1967,671
Glenn Hoddle,England,27/10/1957,672
Jakob Kjeldbjerg,Denmark,21/10/1969,673
Mark Stein,England,28/01/1966,674
Graham Rix,England,23/10/1957,675
Paul Williams,England,11/09/1969,677
Julian Darby,England,03/10/1967,678
Ally Pickering,England,22/06/1967,679
Steve Morgan,England,19/09/1968,680
Sandy Robertson,Scotland,26/04/1971,681
John Gayle,England,30/07/1964,682
Gary Rowett,England,06/03/1974,684
Tony Grant,England,14/11/1974,685
Joe Parkinson,England,11/06/1971,686
Brett Angell,England,20/08/1968,687
Paul Tait,England,24/10/1974,688
Kevin Ellis,England,11/05/1977,689
Leo Cotterell,England,02/09/1974,690
Stuart Slater,England,27/03/1969,691
Paul Mason,England,03/09/1963,692
Andrew Couzens,England,04/06/1975,693
Gary Kelly,Ireland,09/07/1974,694
Mark Ford,England,10/10/1975,695
Julian Dicks,England,08/08/1968,696
Rae Ingram,England,06/12/1974,698
Jim Whitley,Northern Ireland,14/04/1975,700
Alfons Groenendijk,Netherlands,17/05/1964,701
Carl Griffiths,Wales,16/07/1971,702
Paul Walsh,England,01/10/1962,703
Uwe Rösler,Germany,15/11/1968,704
Robbie Savage,Wales,18/10/1974,706
Tommy Wright,Northern Ireland,29/08/1963,707
Pavel Srnicek,Czech Republic,10/03/1968,708
Steve Harper,England,14/03/1975,709
John Beresford,England,04/09/1966,710
Matthew Robinson,England,23/12/1974,711
Barry Venison,England,16/08/1964,712
Alan Neilson,Wales,26/09/1972,713
Steve Howey,England,26/10/1971,714
Robbie Elliott,England,25/12/1973,715
Chris Holland,England,11/09/1975,716
Nicos Papavasiliou,Cyprus,31/08/1970,717
Matty Appleby,England,16/04/1972,718
Tony Dinning,England,12/04/1975,719
Steve Watson,England,01/04/1974,720
Robert Lee,England,01/02/1966,721
Paul Bracewell,England,19/07/1962,722
Lee Clark,England,27/10/1972,723
Michael Jeffrey,England,11/08/1971,724
Andrew Cole,England,15/10/1971,725
Alun Armstrong,England,22/02/1975,726
Malcolm Allen,Wales,21/03/1967,727
Alex Mathie,Scotland,20/12/1968,728
Andy Marshall,England,14/04/1975,730
Scott Howie,Scotland,04/01/1972,731
Spencer Prior,England,22/04/1971,732
