Name,Country,DoB,PlayerId
Abdou Diakhate,Senegal,31/12/1998,225
Abdou Diallo,France,4/5/96,226
Abdou Harroui,Netherlands,13/01/1998,227
Abdou Traoré,Mali,17/01/1988,228
Abdou Traoré,Burkina Faso,28/12/1988,229
Abdoul Camara,Guinea,20/02/1990,230
Abdoul Dante,Mali,29/10/1998,231
Abdoul Diakite,France,11/1/86,232
Abdoul Gafar,Burkina Faso,30/12/1998,233
Abdoul Karim Cisse,Cote D'Ivoire,20/10/1985,234
Abdoul Karim Sylla,Netherlands,23/01/1992,235
Abdoul Sissoko,Mali,20/03/1990,236
Abdoul-Gafar Mamah,Togo,24/08/1985,237
Abdoulay Konko,France,9/3/84,238
Abdoulaye Ba,Senegal,1/1/91,239
Abdoulaye Bamba,Cote D'Ivoire,25/04/1990,240
Abdoulaye Dabo,France,4/3/01,241
Abdoulaye Diaby,Mali,21/03/1991,242
Abdoulaye Diakité,Senegal,22/12/1992,243
Abdoulaye Diallo,Senegal,30/03/1992,244
Abdoulaye Doucouré,France,26,245
Abdoulaye Fall,Senegal,17/08/1988,246
Abdoulaye Fall,Senegal,18/05/1989,247
Abdoulaye Faye,Senegal,26/02/1978,248
Abdoulaye Karamoko,France,TBD,249
Abdoulaye Méité,Cote D'Ivoire,6/10/80,250
Abdoulaye Sanogo,Mali,14/10/1996,251
Abdoulaye Siby,France,4/3/93,252
Abdoulaye Toure,England,TBD,253
Abdoulaye Touré,France,3/3/94,254
Abdoulie Mansally,Gambia,27/01/1989,255
Abdoulrazak Boukari,Togo,25/04/1987,256
Abdul Ajagun,Nigeria,10/2/93,257
Abdul Al Abbasi,Qatar,17/08/1993,258
Abdul Al Dawood,Kuwait,4/12/81,259
Abdul Aman,Ethiopia,15/08/1989,260
Abdul Aziz Al Sulaity,Qatar,11/6/88,261
Abdul Bai Kamara,Netherlands,25/05/1996,262
Abdul Gabar Al Abbadie,Switzerland,21/07/1994,263
Abdul Kader Keita,Cote D'Ivoire,6/8/81,264
Abdul Mumin,Ghana,6/6/98,265
Abdul Osman,Ghana,27/02/1987,266
Abdul Rahman Baba,Ghana,2/7/94,267
Abdul Razak,Cote D'Ivoire,11/11/92,268
Abdul Razak,Ghana,3/7/89,269
Abdul Razak Nuhu,Ghana,14/05/1991,270
Abdul Salami,England,TBD,271
Abdula Ahmed,Qatar,TBD,272
Abdulafttah Asiri,Saudi Arabia,26/02/1994,273
Abdulah Al-Mutairi,Saudi Arabia,9/10/85,274
Abdulai Bell-Baggie,England,28/04/1992,275
Abdulaziz Al Aryani,Saudi Arabia,13/03/1996,276
Abdulaziz Al Harqan,Qatar,TBD,277
Abdulaziz Al Salimi,Kuwait,19/09/1991,278
Abdulaziz Al-Ansari,Qatar,19/02/1992,279
Abdülaziz Demircan,Turkey,5/2/91,280
Abdulaziz Shareef,Qatar,9/2/93,281
Abdulcebrail Akbulut,Turkey,15/10/2001,282
Abdulelah Albukhari,Saudi Arabia,18/07/1994,283
Abdulghafoor Murad,Qatar,12/3/89,284
Abdulhadi Khamis,Kuwait,19/12/1990,285
Abdulkader Benaida,England,TBD,286
Abdulkadir Kayali,Turkey,30/01/1991,287
Abdulkadir Kuzey,Turkey,12/4/91,288
Abdulkadir Omur,Turkey,25/06/1999,289
Abdulkadir Ozdemir,Turkey,25/03/1991,290
Abdulkadir Parmak,Turkey,28/12/1994,291
Abdulkerim Bardakci,Turkey,7/9/94,292
Abdulla Abatsiyev,Azerbaijan,16/08/1993,293
Abdulla Al Kuwari,Qatar,16/04/1988,294
Abdulla Ayesh,Qatar,7/6/83,295
Abdulla Mohammed Al Berik,Qatar,14/02/1982,296
Abdulla Taleb Afifa,Qatar,5/4/91,297
Abdullah Al Ahrak,Qatar,10/5/97,298
Abdullah Al Hafith,Saudi Arabia,25/12/1992,299
Abdullah Al Shami,Syria,28/10/1994,300
Abdullah Al Shemali,Kuwait,18/01/1988,301
Abdullah Al-Harbi,Saudi Arabia,28/01/1989,302
Abdullah Al-Mayoof,Saudi Arabia,23/01/1987,303
Abdullah Al-Mohammed,Saudi Arabia,12/3/92,304
Abdullah Celik,Austria,19/07/1997,305
Abdullah Durak,Turkey,1/4/87,306
Abdullah Karamah,United Arab Emirates,31/12/1996,307
Abdullah Karmil,Turkey,22/01/1988,308
Abdullah Khateeb,Saudi Arabia,12/3/95,309
Abdullah Koni,Qatar,19/07/1979,310
Abdullah Otayf,Saudi Arabia,3/8/92,311
Abdullah Shuhail,Saudi Arabia,2/6/85,312
Abdullahi Ibrahim Alhassan,Nigeria,3/11/96,313
Abdullrahman Al Ameri,United Arab Emirates,30/04/1998,314
Abdulmajeed Al-Sulaiheem,Saudi Arabia,15/05/1994,315
Abdulmalek Al-Khaibri,Saudi Arabia,13/03/1986,316
Abdulraheem Jumaa,United Arab Emirates,23/05/1979,317
AbdulRahman Al Sahamari,Kuwait,11/7/88,318
Abdulrahman Al Yami,Saudi Arabia,19/06/1997,319
Abdulrahman Al-Ghamdi,Saudi Arabia,1/11/94,320
Abdulrahman Al-Rio,Saudi Arabia,15/05/1994,321
Abdulrahman Nasser,Qatar,16/02/1991,322
Abdurrahim Dursun,Turkey,1/12/98,323
Abdurrahman Canli,Turkey,4/5/97,324
Abdurrahman Dereli,Turkey,15/02/1981,325
Abdurrahman Temel,Turkey,9/10/50,326
Abdussamed Karnucu,Turkey,4/2/00,327
Abed Nouas,France,TBD,328
Abedin Krasniqi,Germany,4/2/86,329
Abel,Spain,1/1/95,330
Abel,Mozambique,4/3/46,331
Abel Aguilar,Colombia,6/1/85,332
Abel Araújo,Ecuador,15/01/1994,333
Abel Balbo,Argentina,1/6/66,334
Abel Buades,Spain,11/7/77,335
Abel Camará,Guinea-Bissau,6/1/90,336
Abel Casquete Rodríguez,Ecuador,8/8/97,337
Abel Diaz,Spain,3/1/53,338
Abel Ferreira,Portugal,22/12/1978,339
Abel Fuentes,Mexico,16/11/1993,340
Abel Gómez,Spain,20/02/1982,341
Abel Hernández,Uruguay,8/8/90,342
Abel López Benita,Spain,11/4/90,343
Abel Masuero,Argentina,6/1/88,344
Abel Miglietti,Portugal,4/3/43,345
Abel Molinero,Spain,28/04/1989,346
Abel Moreno,Spain,19/02/1995,347
Abel Ruiz,Spain,28/01/2000,348
Abel Segovia,Spain,2/1/79,349
Abel Suárez,Spain,11/4/91,350
Abel Tamata,Netherlands,5/12/90,351
Abel Xavier,Portugal,30/11/1972,352
Abelardo,Spain,3/9/44,353
Abia Nale,South Africa,5/10/86,354
Abiola Dauda,Nigeria,3/2/88,355
Ablanedo,Spain,2/9/63,356
Ablanedo,Spain,22/08/1962,357
Ablanque,Spain,5/7/96,358
Ablaye Mbengue,Senegal,19/05/1992,359
Ablaye Seck,Senegal,10/3/88,360
Abobaker Eisa,England,5/1/96,361
Abonima,Nigeria,27/11/1994,362
Abou Diaby,France,11/5/86,363
Abou Diop,Senegal,6/10/93,364
Aboubacar Camara,Guinea,1/1/93,365
Aboubacar Diarra,Mali,9/8/94,366
Aboubacar Keita,United States,6/4/00,367
Aboubacar Sankhare,France,17/01/1978,368
Aboubacar Sanogo,Cote D'Ivoire,TBD,369
Aboubakar Kamara,France,23,370
Aboubakar Keita,Cote D'Ivoire,5/11/97,371
Aboubakar Oumarou,Cameroon,1/4/87,372
Aboubaker Kone,France,3/7/90,373
Abraham,Spain,5/3/90,374
Abraham,Spain,16/07/1985,375
Abraham Contreras,Spain,27/03/1995,376
Abraham Coronado,Mexico,28/02/1992,377
Abraham Darío Carreño,Mexico,13/01/1988,378
Abraham Frimpong,Ghana,6/4/93,379
Abraham Iniga,Solomon Islands,21/11/1979,380
Abraham Majok,Australia,13/10/1998,381
Abraham Minero,Spain,22/02/1986,382
Abraham Paz,Spain,29/06/1979,383
Abraham Pozo,Spain,7/8/90,384
Abraham Quesada,Spain,5/4/85,385
Abraham Romero,Mexico,18/02/1998,386
Abraham Yango,Australia,6/8/96,387
Abrorjon Karimov,Uzbekistan,29/07/1994,388
Abu Danladi,Ghana,18/10/1995,389
Abu Ogogo,England,3/11/89,390
Abu Sanunu,Ghana,24/03/1998,391
Abubakar Kadyrov,Russia,26/08/1996,392
Abuchi Obinwa,United States,15/01/1997,393
Abukar Mohamed,Finland,1/1/99,394
Abylaykhan Duysen,Kazakhstan,3/6/94,395
Abzal Beysebekov,Kazakhstan,30/11/1992,396
Acar Serkan,Turkey,TBD,397
Acass Jah,England,TBD,398
Achille Campion,France,10/3/90,399
Achille Emaná,Cameroon,5/6/82,400
Achille Sinner,Luxembourg,13/07/1957,401
Achille Vaarnold,Netherlands,26/01/1996,402
Achilleas Poungouras,Greece,13/06/1995,403
Achilleas Vasiliou,Cyprus,8/4/91,404
Achraf Achaoui,Morocco,10/12/96,405
Achraf Bencharki,Morocco,24/09/1994,406
Achraf El Bouchataoui,Netherlands,12/1/00,407
Achraf El Mahdioui,Netherlands,24/05/1996,408
Achraf Hakimi,Morocco,4/11/98,409
Achraf Lazaar,Morocco,22/01/1992,410
Aco Stojkov,Macedonia,29/04/1983,411
Acoidán,Spain,TBD,412
Acorán,Spain,31/01/1983,413
Adailton,Brazil,16/04/1983,414
Adalbert Fuhrmann,Germany,24/04/1954,415
Adalbert Kassai,Romania,16/02/1951,416
Adalbert Rozsnyai,Romania,17/04/1952,417
Adalberto Peñaranda,Venezuela,21,418
Adalberto Román,Paraguay,11/4/87,419
Adam Anson,England,4/2/97,420
Adam Armstrong,England,10/2/97,421
Adam Ashwin,England,29/01/2001,422
Adam Aziz,England,TBD,423
Adam Bailey-Dennis,England,18/09/1990,424
Adam Bale,England,21/09/1998,425
Adam Barrett,England,29/11/1979,426
Adam Bartlett,England,27/02/1986,427
Adam Barton,Ireland,7/1/91,428
Adam Bastable,England,TBD,429
Adam Bedell,United States,1/12/91,430
Adam Ben Lamin,Sweden,2/6/01,431
Adam Berry,Australia,20/02/1997,432
Adam Birchall,Wales,2/12/84,433
Adam Bishop,England,12/6/98,434
Adam Black,England,25/10/1986,435
Adam Blakeman,England,3/12/91,436
Adam Bodzek,Germany,7/9/85,437
Adam Bogdan,Hungary,27/09/1987,438
Adam Bolder,England,25/10/1980,439
Adam Bouzid,France,30/11/1987,440
Adam Boyd,England,25/05/1982,441
Adam Boyes,England,1/11/90,442
Adam Bruce,England,19/10/1999,443
Adam Buksa,Poland,12/7/96,444
Adam Burchell,England,28/11/1990,445
Adam Buxton,England,12/5/92,446
Adam Bygrave,England,24/02/1989,447
Adam Cameron,England,TBD,448
Adam Campbell,England,1/1/95,449
Adam Carden,England,24/07/1985,450
Adam Cash,England,TBD,451
Adam Caunce,England,TBD,452
Adam Chambers,England,20/11/1980,453
Adam Chapman,Northern Ireland,29/11/1989,454
Adam Chicksen,England,27/09/1991,455
Adam Chrzanowski,Poland,31/03/1999,456
Adam Clayton,England,14/01/1989,457
Adam Collin,England,9/12/84,458
Adam Confue,England,TBD,459
Adam Connolly,England,10/4/86,460
Adam Coombes,England,19/06/1991,461
Adam Crookes,England,18/11/1997,462
Adam Csilus,Hungary,18/11/1996,463
Adam Csire,Hungary,21/02/1996,464
Adam Cunnington,England,7/10/87,465
Adam Curry,England,21/05/1997,466
Adam Davie,England,11/10/99,467
Adam Davies,Wales,17/07/1992,468
Adam Dawson,England,5/10/92,469
Adam Dawson,England,TBD,470
Adam Desbois,England,TBD,471
Adam Diass,France,TBD,472
Adam Dickinson,England,5/11/86,473
Adam Dodd,England,14/05/1993,474
Adam Doyle,England,TBD,475
Adam Drury,England,29/08/1978,476
Adam Drury,England,9/9/93,477
Adam Duda,Poland,24/01/1991,478
Adam Dugdale,England,12/9/87,479
Adam Duke,England,TBD,480
Adam Dzwigala,Poland,25/09/1995,481
Adam Eckersley,England,7/9/85,482
Adam Edgar,Australia,21/01/1998,483
Adam El-Abd,Egypt,11/9/84,484
Adam Etches,England,TBD,485
Adam Everitt,England,28/06/1982,486
Adam Fagerhag,Sweden,2/4/98,487
Adam Farley,England,12/1/80,488
Adam Farrell,England,TBD,489
Adam Federici,Australia,31/01/1985,490
Adam Fletcher,England,TBD,491
Adam Flint,England,TBD,492
Adam Flynn,England,12/10/84,493
Adam Forshaw,England,8/10/91,494
Adam Francis,England,TBD,495
Adam Golunski,Poland,20/01/1997,496
Adam Green,England,12/1/84,497
Adam Griffin,England,28/08/1984,498
Adam Grinwis,United States,21/04/1992,499
Adam Gross,England,16/02/1986,500
Adam Hajdu,Hungary,16/01/1993,501
Adam Hammill,England,25/01/1988,502
Adam Harrison,England,19/02/1999,503
Adam Heardman,England,TBD,504
Adam Henley,Wales,14/06/1994,505
Adam Hinchcliffe,England,21/03/1994,506
Adam Hinshelwood,England,8/1/84,507
Adam Hlousek,Czech Republic,20/12/1988,508
Adam Idah,Ireland,11/2/00,509
Adam Jackson,England,18/05/1994,510
Adam Jahn,United States,5/1/91,511
Adam Jakubech,Slovakia,2/1/97,512
Adam Janos,Czech Republic,20/07/1992,513
Adam Jarraf,France,TBD,514
Adam Johansson,Sweden,21/02/1983,515
Adam Johnson,England,14/07/1987,516
Adam Kay,England,5/3/90,517
Adam Kelly,England,TBD,518
Adam Kelsey,England,12/11/99,519
Adam King,Scotland,11/10/95,520
Adam Kovacsik,Hungary,4/4/91,521
Adam Kucera,Czech Republic,25/02/1993,522
Adam Kurucz,Hungary,1/8/61,523
Adam Laidlaw,England,22/08/1987,524
Adam Laidler,England,14/11/1996,525
Adam Lallana,England,30,526
Adam Langley,England,TBD,527
Adam Larsen Kwarasey,Ghana,12/12/87,528
Adam Le Fondre,England,2/12/86,529
Adam Learoyd,England,18/01/1989,530
Adam Leather,England,14/11/2001,531
Adam Legzdins,England,32,532
Adam Lewis,England,8/11/99,533
Adam Liddle,England,TBD,534
Adam Lockwood,England,26/10/1981,535
Adam Long,England,11/11/00,536
Adam Lovatt,England,TBD,537
Adam Lund,England,TBD,538
Adam Lundqvist,Sweden,20/03/1994,539
Adam Mahdi,England,8/12/89,540
Adam Maher,Netherlands,20/07/1993,541
Adam Mann,England,TBD,542
Adam Marriott,England,14/04/1991,543
Adam Martin,England,18/02/1985,544
Adam Martin,England,16/07/1990,545
Adam Marusic,Montenegro,17/10/1992,546
Adam Masina,Italy,25,547
Adam Matthews,Wales,13/01/1992,548
Adam Matuschyk,Poland,14/02/1989,549
Adam May,England,6/12/97,550
Adam McDonnell,Ireland,14/05/1997,551
Adam McGeorge,New Zealand,30/03/1989,552
Adam McGurk,Northern Ireland,24/01/1989,553
Adam Mekki,England,24/12/1991,554
Adam Miller,England,19/02/1982,555
Adam Mimún Mateo,Spain,13/01/2002,556
Adam Mitchell,England,18/10/1993,557
Adam Moffat,Scotland,15/05/1986,558
Adam Morgan,England,21/04/1994,559
Adam Morris,England,TBD,560
Adam Muller,England,17/04/1982,561
Adam Murray,England,30/09/1981,562
Adam Musial,Poland,18/12/1948,563
Ádám Nagy,Hungary,17/06/1995,564
Adam Najem,United States,19/01/1995,565
Adam Nawalka,Poland,23/10/1957,566
Adam Nemec,Slovakia,2/9/85,567
Adam New,England,TBD,568
Adam Newton,Saint Kitts And Nevis,12/4/80,569
Adam O'Reilly,Ireland,11/5/01,570
Adam Osbourne,England,17/10/1998,571
Adam Ounas,Algeria,11/11/96,572
Adam Page,England,30/05/1997,573
Adam Parkes,England,30/11/1999,574
Adam Pazio,Poland,27/09/1992,575
Adam Pearce,Australia,8/1/97,576
Adam Phillips,England,15/01/1998,577
Ádám Pintér,Hungary,12/6/88,578
Adam Porritt,England,TBD,579
Adam Porter,England,TBD,580
Adam Potts,England,TBD,581
Adam Powell,England,30/09/1995,582
Adám Présinger,Hungary,26/01/1989,583
Adam Priestley,Gibraltar,14/08/1990,584
Adam Proudlock,England,9/5/81,585
Adam Przybek,Wales,2/4/00,586
Adam Quinn,England,2/6/82,587
Adam Rachel,England,10/12/76,588
Adam Randell,England,TBD,589
Adam Reach,England,3/2/93,590
Adam Reed,England,18/02/1975,591
Adam Reed,England,8/5/91,592
Adam Richter,Czech Republic,25/06/1998,593
Adam Roberts,England,30/12/1991,594
Adam Robinson,England,TBD,595
Adam Robinson,England,15/10/1997,596
Adam Rooney,Ireland,21/04/1988,597
Adam Roscoe,England,TBD,598
Adam Rothermel,Hungary,14/06/1948,599
Adam Rundle,England,8/7/84,600
Adam Rutzler,England,TBD,601
Adam Ryczkowski,Poland,30/04/1997,602
Adam Saville,England,TBD,603
Adam Senior,England,TBD,604
Adam Siviter,England,15/06/2000,605
Adam Slegg,England,TBD,606
Adam Smith,England,27,607
Adam Smith,England,20/02/1985,608
Adam Smith,England,23/11/1992,609
Adam Smith,England,11/9/85,610
Adam Sorensen,Denmark,11/11/00,611
Adam Stansfield,England,10/9/78,612
Adam Straith,Canada,11/9/90,613
Adam Sumner,England,4/12/91,614
Adam Susac,Croatia,20/05/1989,615
Ádám Szalai,Hungary,9/12/87,616
Adam Taggart,Australia,2/6/93,617
Adam Tann,England,12/5/82,618
Adam Tanner,England,25/10/1973,619
Adam Thomas,England,4/2/94,620
Adam Thompson,Northern Ireland,28/09/1992,621
Adam Thompson,England,11/10/02,622
Adam Thurston,England,TBD,623
Adam Tzanetopoulos,Greece,10/2/95,624
Adam Vass,Hungary,9/9/88,625
Adam Virgo,Scotland,25/01/1983,626
Adam Walker,England,22/01/1991,627
Adam Ward,England,TBD,628
Adam Warlow,England,3/2/87,629
Adam Watkins,England,8/9/81,630
Adam Watts,England,4/3/88,631
Adam Webster,England,4/1/95,632
Adam Webster,England,3/7/80,633
Adam Wilde,England,22/05/1979,634
Adam Wilson,England,10/4/00,635
Adam Wixted,Ireland,8/3/95,636
Adam Yates,England,28/05/1983,637
Adam Zilak,Slovakia,7/12/91,638
Adam Zrelák,Slovakia,5/5/94,639
Adama Coulibaly,Mali,10/9/80,640
Adama Diakhaby,France,22,641
Adama Diomande,Norway,14/02/1990,642
Adama Fofana,Cote D'Ivoire,5/4/96,643
Adama Guira,Burkina Faso,24/04/1988,644
Adama Mbengue,Senegal,1/12/93,645
Adama Soumaoro,France,18/06/1992,646
Adama Touré,Mali,28/08/1991,647
Adama Traoré,Spain,23,648
Adama Traoré,Cote D'Ivoire,3/2/90,649
Adama Traoré,Mali,28/06/1995,650
Adama Traoré,Mali,5/6/95,651
Adams Barry,France,1/8/97,652
Adán Gurdiel,Spain,12/11/93,653
